addresses;emerald_balance;eth_balance;erc20_input_tx_count;erc20_output_tx_count;erc20_amount_in;erc20_amount_out;erc20_balance;transfer_input_tx_count;transfer_output_tx_count;transfer_output_balance;swap_ledger_emerald_bought;swap_ledger_emerald_sold;swap_ledger_ether_gained;swap_ledger_ether_spent;swap_ledger_emerald_received;swap_ledger_eth_received;swap_ledger_received_from;swap_ledger_tx_list;os_eth_spent;os_eth_gained;os_emeralds_bought;os_emeralds_sold;ox_txs;is_contract
0x2671Df15A2E526c513967bd460D82ba01Ba7571f;0.0;1.77;15;11;367.0;367.0;0.02;362;362;0;367.1;367.0;22.27;20.5;0.0;0.0;0x44b7e20d9b47f0e3470ef4e038bbbf1654454605fa0d22af4c7f58943b4018f1, 0xc8514582732d618021fa7c537c5abd192fe0621b0b48b40d0ad7423fb3a6f19f, 0x422940abee94dd782280a4c942d173ed9b31e7694e2262f97858cc3770e0e983, 0x0583ee3cf4de8bd68dbd681969bed9cb5e84119a3ae5ba9c38d3009fd6a87aa8, 0xcd0b725227f0ae2d8c7f7d6cf71015c51ce5abfdc4c5b0f04bd75553b7f5e1b5, 0x4c63da4b56627bc6dd60b8efff442c8e77a85d828d6fadbbc3587634dd3850fc, 0xcb2acdc1292f233a0ce126b44dfe42e3921b42ddf6abaf1eb6464f902ed02e64, 0x1de5531d4d2c365081b522458bbee5363c2e8ab875cc090d9e2379ba6c231fcd, 0xdbbdebaf081d0f8446ba74cbc958763490fc2dbb330d280b710f482a0b58102d, 0x673c01d4ab4bb9daa2fab8f32fb7f8e4947ba402e40bc3d860991e8fa073febc, 0x00531620838c052008b66d727b71349db88985bb37e639e2ae7b9edb34400b14, 0xe6b5e81cbc26db79256b4b9b2e93cbd6b0e5a6377474e8dbce6704d09ffe8148, 0xaaa4e99e1f9950846da8592303fdda10891c1ec60b8bb6e8d85e71c411c162ce, 0x1ed27606f4f00b1a5011e417a0f6f99033eb0c55cf02757cf336b912648157e1, 0x8a2a3e0dede39e077499d353006c69c44b031bcbbb128067c76b1b61add094ba, 0x861b6e5f0a9d2c45679c9a4af62b49c16a775641757bede3c54cb0b5263bb709, 0xef7171d1b7b042b2e60b6c410b9d57ae0a00497a925fe49d0c237df7f1f52688, 0x3cebbfcb4b0321bb338026007110289dc6d0fecdbd76170983c1d092b38f3c9e, 0x2170650df42cf30597e11c5cc853786a5cac6cf82400bd98321723b86ea6e4d0, 0x7deed7ffe92e1c62d19c46e6e85bb756c25e13a42238582c2703ec0af03b3250, 0x63c5a295ca935d05e712a583e559a139e0a10804389ef5fe26afdf8843f15110, 0x9f3d74fb72ea8a9bcdab10b636c577ea72ea25cd3a83e39b54cc5595b7ca18a8, 0x30c7bc3c48eb9a2a8e05419a6277595e624ba2c7c3fbbde13acfcfb3d2008068, 0x72f4a580804fbce7451a8ed514942fc573df5775029295906f7279e63ac6e6b7, 0xa19fc669c1d6aa63a0689ec4be03b1d0fec32530fc38da917274ff4f08281c95, 0x3982868f9a2b7f89e13371fe936cd77aa9e53f9acd4e43defa896f7aedd48803;;0.0;0.0;0;0;;False
0x49e5E79412eD4f13547BF9C40cB3A4a041EeDDF2;0.0;1.627;4;7;60.11;60.11;0.0;0;0;0;60.12;60.11;4.629;3.002;0.0;0.0;0xd2e89a6ecf22105d0f438f751534f2787d84e84948f5a8135dc0162281bc91a5, 0xf28d58bd135e2d4d5da473418095e1b63b391d16bab46e9fa1293683bbbe50f0, 0x57b6432a69b0618920100bca57896c30d6ba9f421bfeb73b2311feafb27cc105, 0x01603823eb15c9d85f79b7891d6b467ba3820e7e602c1093baa147419dcd3ece, 0x2ece83af74929186a5d3c04967f77b7c9a1d54b9b16073f73493c3fdb7a364a6, 0xcefc01fe4d0a08c05ae4826bff31ed7301b9274f7a8b1ab8ad961b567a4b7783, 0xad277479e27fd8095d37b79c78fd4cc9efd12206d652bda9c7515975cd4104b1, 0x092495bff500c961a314be05f7fb21c61897e5550c7c3418fe3d831f8383d7cf, 0x0a04f3578fb6c8060929e02daa475fae4eb70690fc5e3e20094c883be2acf3fb, 0x8b5c8a6f662709e44b47045fb51f7905215baa145551f6b09e0df8d3d630c92c, 0x4bb398d0dc587eb666a7fd4438970f769e880e8548f4d666c508e00c9c12d8f7;;0.0;0.0;0;0;;False
0x5A365F423f99CC8a89B045e145caA318f0F2f3aC;4.7;-0.25;1;0;4.7;0.0;4.7;4;0;4;4.704;0.0;0.0;0.25;0.0;0.0;0x2c74295266f74144c1eaa971915d14ae3245c1e49f7bc6fcc956a09a25efcfc5;;0.0;0.0;0;0;;False
0xea55C19F1653063b66FA30FadD001dbF02f070F4;10.07;-0.7182;5;0;10.07;0.0;10.07;10;0;10;10.08;0.0;0.0;0.7182;0.0;0.0;0x3ec58ea552110416ca16e590f8a8305a59d2f639238c4f2aaf8022ef98b7fa81, 0x5b923b92fd4c6b8dfd5178c57a520f335e6eab7c8489786e6069683655173dfd, 0xbc097a7451072f69ddc559a4e9bc117960967279581ff36a1539b0ba7429158c, 0x34329aebd78cb77f1ce9e0b613323e312932952dcff3a121ad43ed999c4c8a92, 0xd1039aeecbaa7abdb291796d3bfc4c5015fae8c3915f7538b312d9cf4c0a22f3;;0.0;0.0;0;0;;False
0x6e26E1CD15c91713019EAE673E27e234bF4BF7d3;0.0;2.95;2;3;100.0;100.0;0.0;0;0;0;100.0;100.0;9.053;6.103;0.0;0.0;0x36e143037f42313dc2ac6bd9ce9e053c4dafb6b2fb80ec9abf5c397985ea33b6, 0x9ea2a9c3507137fd0432e0c0ad4f479075768d84f88bf8ba3740c719b0cc3649, 0xf065e2c31dc950d28235e868ba20096bfac7901960a890d8cfe16373d7996313, 0x9d665e27ccee1e5c5eb33ce35483818938784256909e1bb59191daab55564d51, 0x9084e9475838d642a92aa5eb0e9891bf9625ba245007706182923e001e9e360b;;0.0;0.0;0;0;;False
0x36032340E255D6eCbE5bEC5A37F3f9A26d134B59;1.11;0.0364;4;2;7.36;6.25;1.11;6;5;1;7.385;6.25;0.5664;0.53;0.0;0.0;0x84d064ad2a480a6e7b0fcb5e9b1d4b7990529472c30c45d4916ccafbf0c61906, 0x9e035d591e09aeb1aeaf3e7a20f49126e6de8d25632b4b54fc256d8e70c0bf3f, 0x628182d9c15de310c6e8213bda005819f84e4c499eb877ea0fe2638afd2caa90, 0x551ebe2f3a232a51e42bc774b8a284a6b5aff8201d84e9760a3ca963192cb80c, 0x6b9054f76583b448aad96bd2d68bf8953f7b2d3eb17580f9bcca7c1b2e48b972, 0x2bf543489ed6df2666e9cedde67cb4b1986a5564c8742a17491a9041d656daa2;;0.0;0.0;0;0;;False
0xAEf628a3A8BcC40DdE915F98f018D6EA64fbAF8F;0.48;-0.05;1;0;0.48;0.0;0.48;0;0;0;0.4828;0.0;0.0;0.05;0.0;0.0;0xd04a75c567ce38d3a561663df34156c4c22b3628645ba8d7be40733d634f3bab;;0.0;0.0;0;0;;False
0x0552020D2De01E9383964d2d82995F21B793DD15;0.9;-0.05;1;0;0.9;0.0;0.9;0;0;0;0.9047;0.0;0.0;0.05;0.0;0.0;0xe0d4144e5abe6daaaf29993c87b5330bbce86a0f9391997dd8f17b90de463ba9;;0.0;0.0;0;0;;False
0x19c32B7Ab4D1615d5F03279f85b18F1b0E750ce2;2.56;-0.1557;2;1;3.56;1.0;2.56;3;1;2;3.569;1.0;0.04428;0.2;0.0;0.0;0x5f9fd94cbea74346f1296bc508972b777e0744d348bbb180eb4108be35c16d19, 0x1389604d183fd2f7a5c16b2826bdbb7b99ee225a13faf70afc568ba0f76c3d8d, 0x0805be2919978bb07acb091ed9827f82a85bc14cb7cd51af266b36d5b8bf252d;;0.0;0.0;0;0;;False
0xD7b16a6B6b7072154f6C15039AFA7C2740013A5E;11.4;-1.304;2;0;11.4;0.0;11.4;11;0;11;11.41;0.0;0.0;1.304;0.0;0.0;0x2970e53107bdf77197c87992e7e747efefa4540d20f657fc551e4baa9dcefcc5, 0x50be7a6545a60f32065d8604be50cf12e28645007f650ff431d505e9f1374c2e;;0.0;0.0;0;0;;False
