addresses;emerald_balance;eth_balance;erc20_input_tx_count;erc20_output_tx_count;erc20_amount_in;erc20_amount_out;erc20_balance;transfer_input_tx_count;transfer_output_tx_count;transfer_output_balance;swap_ledger_emerald_bought;swap_ledger_emerald_sold;swap_ledger_ether_gained;swap_ledger_ether_spent;swap_ledger_emerald_received;swap_ledger_eth_received;swap_ledger_tx_list;os_eth_spent;os_eth_gained;os_emeralds_bought;os_emeralds_sold
0xaab2f49e5b0779d50fef7d801bb4bc682dbbdb9e;0.0;0.01477;0;0;0.0;0.0;0.0;0;0;0;1.243;11.34;0.1125;0.09773;0.0;0.0;0xc27709ed40d447742ea6c932a870749072a5d9ab4073fac628761fc9f8f618f5, 0x9f845c1df5abf488bb43979ac9ee15c2b4dc62011b3ae332a9c8bfe2df404bcf, 0x7ce8efd583388296b80c6ecd8a1e48cbd2fa56a22412390a692e98aa7c26c8c5, 0x242bb1640b53498900d1558c6714ed121e19d884ec5aefebb65aeb5d198b04b1, 0xec6af38ac84215d30f21451f3a9090326c280850bce00976c101e1e44955b6c6, 0xa873caac7e377dc4ee8bf5fa4ee18400734320ac38d1117169f9983ef0095ca7, 0x920eaffbf916c382cfa6909bbd3e06eb669a996eb3c2360174b1187f6bf44931;0.0;0.0;0;0;
0x735ec57eae676c8512be925b071cdf003b7ef42c;0.0;0.0;4;6;590.0;590.0;0.0;90;90;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x13fedc7c99d2f97d1e881d7233772cd8beb97f43;0.37;0.0;1;0;0.37;0.0;0.37;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x149c5af238267f6e3a1745570df1280f939b4a88;0.0;0.0;1;1;3.09;3.09;0.0;3;3;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x3acf3625ece9274f389808906b6176d00d6aa785;0.0;0.0;2;2;7.09;7.09;0.0;6;6;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x8c8e23fa04557d9e0b579ea5fe45051e934f147d;0.0;0.0;4;3;60.0;60.0;0.0;30;30;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0x51f7d18b5cd7695e0d3b46b0a0f2647d06d4a248;0.0;0.0;1;1;9.19;9.19;0.0;9;9;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xdd84d5952eeff0f0474cecab7654b067d05d1953;0.0;0.3672;3;1;31.61;31.61;0.0;31;31;0;0.0;31.61;0.3672;0.0;0.0;0.0;0x8a40012e4bd14dc1729394c5990021dd4e9be7fdfaf71ab90e9b19ac7027a781;0.0;0.0;0;0;
0x4645057b189150225f7b6d7229bd9cc190e7b239;1.0;0.0;1;0;1.0;0.0;1.0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
0xb5f7ae9b7df0344c74c188cf0df2e194e4cc6c36;0.0;0.0;1;1;1.23;1.23;0.0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;
